['SirJellyTheTrueVampireSniffer', 'DukeJellyTheHeroicRobotHunter', 'MadameSushiTheHeroicZombieFinder', 'MasterTrinityTheMightyVampireEater', 'QueenFluffyTheTrueZombieHunter', 'DukeBeetleTheHeroicMonsterFinder', 'MadameTrinityTheGreatZombieEater', 'MasterShadowTheMightyMonsterFinder', 'SirFluffyTheBraveMonsterMaker', 'SirBarneyTheGreatZombieEater', 'DuchessBeetleTheTrueZombieHunter', 'QueenTrinityTheTrueRobotMaker', 'DuchessJellyTheHeroicMonsterHunter', 'QueenTrinityTheMightyMonsterHunter', 'MasterFluffyTheMightyDragonMaker', 'MasterBeetleTheTrueVampireMaker', 'MadameJellyTheTrueRobotEater', 'LordSushiTheTrueMonsterEater', 'MadameSushiTheMightyMonsterEater', 'SirFluffyTheBraveRobotHunter']
['MadameSushiTheBraveVampireSniffer', 'LordBeetleTheBraveDragonHunter', 'LordSushiTheGreatDragonEater', 'DukeTrinityTheGreatMonsterEater', 'LordBeetleTheMightyZombieSniffer', 'SirSushiTheTrueRobotFinder', 'DuchessSushiTheHeroicRobotHunter', 'SirBarneyTheGreatMonsterHunter', 'MasterBeetleTheBraveDragonSniffer', 'QueenBeetleTheGreatMonsterFinder', 'DuchessTrinityTheGreatVampireFinder', 'DuchessShadowTheMightyVampireHunter', 'QueenTrinityTheTrueMonsterMaker', 'SirBarneyTheTrueVampireEater', 'LordFluffyTheGreatZombieHunter', 'MasterFluffyTheBraveRobotHunter', 'MasterBeetleTheGreatDragonSniffer', 'MadameTrinityTheGreatMonsterMaker', 'DukeShadowTheMightyRobotEater', 'MasterTrinityTheMightyMonsterMaker']
['DuchessShadowTheBraveDragonSniffer', 'LordBarneyTheBraveRobotFinder', 'MasterFluffyTheTrueDragonFinder', 'DukeTrinityTheBraveRobotEater', 'MadameShadowTheGreatZombieSniffer', 'MasterBeetleTheMightyVampireMaker', 'DukeShadowTheMightyMonsterMaker', 'DuchessTrinityTheGreatZombieFinder', 'LordFluffyTheMightyVampireSniffer', 'MasterBeetleTheTrueZombieSniffer', 'LordBeetleTheMightyZombieFinder', 'SirShadowTheMightyDragonHunter', 'LordSushiTheHeroicDragonMaker', 'QueenFluffyTheMightyRobotEater', 'SirSushiTheMightyDragonEater', 'LordShadowTheBraveVampireFinder', 'QueenShadowTheHeroicMonsterSniffer', 'MasterTrinityTheBraveMonsterEater', 'QueenFluffyTheBraveRobotHunter', 'SirTrinityTheMightyVampireEater']
['LordShadowTheBraveZombieSniffer', 'QueenTrinityTheGreatMonsterHunter', 'DuchessFluffyTheMightyRobotMaker', 'QueenBeetleTheMightyRobotMaker', 'MadameFluffyTheTrueVampireFinder', 'DukeShadowTheBraveRobotFinder', 'DukeTrinityTheGreatDragonHunter', 'MadameBeetleTheTrueVampireEater', 'LordFluffyTheGreatMonsterFinder', 'DukeShadowTheTrueMonsterEater', 'SirShadowTheBraveZombieMaker', 'MasterBeetleTheGreatRobotSniffer', 'LordJellyTheMightyRobotEater', 'LordJellyTheTrueDragonEater', 'MadameShadowTheGreatZombieMaker', 'LordBarneyTheMightyDragonEater', 'DukeSushiTheBraveDragonFinder', 'QueenBarneyTheHeroicZombieHunter', 'QueenBeetleTheGreatMonsterEater', 'MadameBarneyTheMightyRobotHunter']
['DukeJellyTheGreatMonsterSniffer', 'QueenJellyTheHeroicRobotHunter', 'QueenSushiTheHeroicVampireFinder', 'DuchessBarneyTheBraveZombieHunter', 'QueenBarneyTheGreatRobotEater', 'QueenTrinityTheGreatVampireEater', 'QueenTrinityTheHeroicDragonFinder', 'QueenBeetleTheBraveVampireMaker', 'LordSushiTheBraveVampireEater', 'MadameShadowTheMightyVampireEater', 'MadameSushiTheTrueRobotEater', 'MasterJellyTheMightyDragonFinder', 'MadameShadowTheGreatVampireFinder', 'LordFluffyTheGreatVampireSniffer', 'QueenTrinityTheBraveZombieFinder', 'SirJellyTheTrueVampireFinder', 'QueenShadowTheTrueVampireSniffer', 'SirBeetleTheBraveRobotHunter', 'SirFluffyTheBraveMonsterSniffer', 'QueenTrinityTheMightyVampireMaker']
['DukeBeetleTheHeroicVampireSniffer', 'LordBeetleTheMightyMonsterMaker', 'QueenSushiTheTrueVampireMaker', 'MasterShadowTheHeroicVampireSniffer', 'DukeSushiTheMightyVampireEater', 'MadameBarneyTheMightyVampireMaker', 'QueenShadowTheMightyMonsterMaker', 'MadameSushiTheHeroicDragonEater', 'MasterJellyTheGreatDragonHunter', 'SirBarneyTheGreatRobotEater', 'MasterTrinityTheBraveMonsterMaker', 'SirShadowTheBraveMonsterMaker', 'MadameJellyTheTrueMonsterHunter', 'DuchessSushiTheTrueMonsterSniffer', 'SirFluffyTheMightyZombieMaker', 'QueenJellyTheHeroicZombieSniffer', 'DuchessBarneyTheMightyVampireHunter', 'QueenTrinityTheHeroicVampireMaker', 'QueenBarneyTheMightyZombieEater', 'SirTrinityTheGreatRobotMaker']
['DuchessShadowTheHeroicZombieFinder', 'DuchessBeetleTheGreatMonsterEater', 'LordSushiTheHeroicRobotEater', 'MadameFluffyTheHeroicVampireMaker', 'SirBeetleTheGreatZombieEater', 'LordBeetleTheGreatZombieSniffer', 'SirSushiTheGreatRobotEater', 'MadameBeetleTheTrueZombieMaker', 'LordSushiTheGreatDragonSniffer', 'DuchessBarneyTheMightyMonsterSniffer', 'LordSushiTheHeroicVampireMaker', 'DuchessJellyTheTrueDragonHunter', 'DukeBeetleTheGreatDragonHunter', 'LordSushiTheBraveDragonSniffer', 'MadameFluffyTheTrueZombieFinder', 'SirTrinityTheGreatRobotFinder', 'MadameShadowTheHeroicMonsterEater', 'QueenBarneyTheBraveVampireHunter', 'QueenTrinityTheBraveMonsterHunter', 'MasterTrinityTheMightyRobotSniffer']
['SirShadowTheBraveZombieFinder', 'SirBarneyTheBraveVampireMaker', 'QueenSushiTheMightyVampireEater', 'SirShadowTheTrueVampireFinder', 'MadameFluffyTheTrueMonsterEater', 'LordFluffyTheMightyVampireFinder', 'LordSushiTheHeroicRobotMaker', 'LordBeetleTheGreatRobotSniffer', 'LordFluffyTheMightyVampireMaker', 'SirBeetleTheTrueMonsterMaker', 'MasterJellyTheTrueDragonMaker', 'SirJellyTheBraveRobotHunter', 'MadameShadowTheMightyZombieFinder', 'DukeBarneyTheGreatVampireHunter', 'DuchessFluffyTheGreatDragonEater', 'MasterJellyTheHeroicZombieEater', 'DuchessTrinityTheTrueDragonEater', 'SirSushiTheTrueZombieFinder', 'SirShadowTheGreatZombieSniffer', 'SirJellyTheHeroicVampireEater']
['MadameSushiTheMightyDragonSniffer', 'LordShadowTheBraveRobotMaker', 'SirSushiTheBraveDragonMaker', 'MadameBeetleTheTrueMonsterSniffer', 'QueenTrinityTheBraveRobotSniffer', 'LordSushiTheBraveZombieSniffer', 'LordFluffyTheMightyDragonSniffer', 'SirBarneyTheTrueDragonMaker', 'DuchessSushiTheGreatVampireEater', 'DuchessBeetleTheMightyMonsterEater', 'QueenBarneyTheMightyDragonSniffer', 'MadameTrinityTheBraveZombieSniffer', 'MasterSushiTheMightyZombieHunter', 'SirBeetleTheBraveZombieMaker', 'DuchessBarneyTheTrueDragonHunter', 'DuchessShadowTheHeroicDragonHunter', 'MasterSushiTheHeroicZombieHunter', 'MadameShadowTheMightyDragonEater', 'DuchessJellyTheHeroicMonsterMaker', 'SirJellyTheHeroicZombieEater']
['QueenShadowTheBraveRobotEater', 'MadameSushiTheMightyZombieHunter', 'DuchessJellyTheGreatMonsterSniffer', 'QueenFluffyTheHeroicMonsterMaker', 'DuchessBarneyTheGreatMonsterFinder', 'DukeJellyTheGreatDragonFinder', 'LordJellyTheBraveZombieEater', 'QueenShadowTheBraveVampireMaker', 'MasterShadowTheBraveRobotEater', 'QueenTrinityTheHeroicDragonHunter', 'DuchessShadowTheTrueZombieHunter', 'MasterSushiTheTrueZombieFinder', 'MadameJellyTheMightyZombieMaker', 'SirShadowTheHeroicVampireEater', 'DukeJellyTheTrueMonsterMaker', 'QueenBeetleTheGreatDragonMaker', 'DuchessBarneyTheMightyVampireFinder', 'DuchessSushiTheGreatRobotSniffer', 'MadameFluffyTheHeroicDragonMaker', 'SirShadowTheMightyRobotSniffer']
['MasterBarneyTheTrueMonsterMaker', 'MadameSushiTheBraveRobotSniffer', 'MadameTrinityTheBraveZombieEater', 'DukeShadowTheGreatDragonEater', 'DuchessBeetleTheTrueZombieFinder', 'MadameJellyTheHeroicZombieEater', 'MasterShadowTheBraveDragonFinder', 'DuchessShadowTheBraveZombieHunter', 'MadameBarneyTheGreatRobotEater', 'DuchessFluffyTheBraveDragonHunter', 'LordTrinityTheHeroicVampireEater', 'DuchessBeetleTheTrueDragonFinder', 'LordBeetleTheHeroicMonsterSniffer', 'DukeBeetleTheTrueMonsterEater', 'SirFluffyTheHeroicZombieSniffer', 'MadameBarneyTheMightyZombieEater', 'SirFluffyTheBraveZombieFinder', 'DukeShadowTheBraveVampireHunter', 'QueenJellyTheMightyMonsterMaker', 'MadameShadowTheGreatDragonEater']
