['GB', 'GI', 'CD', 'PY', 'OC']
['LW', 'NV', 'LV', 'GR', 'CX']
['X', 'JK', 'CI', 'DS', 'EF']
['NB', 'SP', 'EJ', 'RH', 'MQ']
['KX', 'IY', 'JA', 'BQ', 'LO']
['J', 'IR', 'JI', 'MJ', 'QE']
['OR', 'ON', 'CA', 'OB', 'GH']
['DC', 'DF', 'KU', 'KZ', 'MK']
['RN', 'KG', 'NL', 'CK', 'KM']
['EQ', 'OO', 'ES', 'HX', 'EP']
['GV', 'BA', 'TD', 'QZ', 'FA']
['CQ', 'MH', 'CT', 'SH', 'RQ']
['LK', 'FE', 'KQ', 'OY', 'LZ']
['FM', 'RC', 'RA', 'QA', 'FC']
['IX', 'GQ', 'PU', 'FZ', 'FH']
['NY', 'NO', 'FW', 'TF', 'IP']
['OH', 'JJ', 'ME', 'FS', 'PR']
['RR', 'FD', 'MD', 'RW', 'IN']
['EZ', 'SQ', 'IH', 'PW', 'QN']
['G', 'NS', 'V', 'KN', 'QW']
['LA', 'O', 'DO', 'RT', 'SY']
['OS', 'NT', 'ER', 'IB', 'TA']
['PF', 'BJ', 'RF', 'SW', 'GM']
['IO', 'JB', 'CZ', 'NZ', 'I']
['GS', 'HG', 'BS', 'DG', 'GJ']
['QX', 'JO', 'PS', 'GZ', 'OL']
['IA', 'FN', 'BW', 'BY', 'GL']
['RK', 'JW', 'DI', 'KI', 'LM']
['DL', 'EB', 'GW', 'W', 'IK']
['OT', 'NF', 'NU', 'CG', 'DT']
['HA', 'RZ', 'DN', 'HD', 'DY']
['PG', 'FX', 'PN', 'OA', 'RO']
['RM', 'KW', 'DZ', 'BN', 'SA']
['N', 'GG', 'BP', 'OJ', 'JZ']
['R', 'JN', 'IQ', 'LR', 'MU']
['KA', 'SV', 'PB', 'FJ', 'BB']
['IF', 'LE', 'DR', 'C', 'IW']
['RX', 'E', 'HU', 'SZ', 'DB']
['HY', 'FG', 'KO', 'NR', 'SC']
['CJ', 'HB', 'BM', 'JF', 'MO']
['BL', 'BF', 'CY', 'SU', 'RS']
['PD', 'BU', 'GF', 'KY', 'CP']
['ED', 'MX', 'IJ', 'SB', 'EE']
['BD', 'NJ', 'HO', 'FO', 'KC']
['BZ', 'NN', 'NE', 'ID', 'LQ']
['IU', 'OX', 'NI', 'CL', 'QH']
['HJ', 'BC', 'HE', 'PK', 'MB']
['MA', 'MI', 'SM', 'SS', 'KR']
['EW', 'LY', 'EV', 'FB', 'MY']
['PT', 'QS', 'JX', 'QT', 'NG']
['CC', 'PJ', 'HM', 'OM', 'NC']
['RE', 'PQ', 'IG', 'JU', 'NX']
['JL', 'DX', 'PL', 'OV', 'SJ']
['EX', 'CM', 'GN', 'LP', 'HF']
['LI', 'LU', 'JG', 'KE', 'EK']
['TC', 'IL', 'B', 'JC', 'FR']
['EC', 'MP', 'FQ', 'BK', 'SO']
['MS', 'OK', 'DH', 'MW', 'Y']
['MN', 'SF', 'JY', 'PV', 'LT']
['FV', 'HW', 'GY', 'LD', 'OE']
['ST', 'PO', 'IE', 'LG', 'EG']
['HI', 'IZ', 'JD', 'OQ', 'U']
['LJ', 'KS', 'GX', 'KL', 'DV']
['EY', 'QC', 'LL', 'NH', 'SN']
['RU', 'CH', 'CB', 'BE', 'QP']
['OD', 'MC', 'CO', 'RB', 'LS']
['QM', 'KF', 'LX', 'CW', 'FU']
['PP', 'QU', 'JQ', 'QQ', 'II']
['RI', 'QD', 'NQ', 'BR', 'MG']
['RV', 'Z', 'OG', 'EU', 'OI']
['K', 'KP', 'HK', 'MM', 'FF']
['NP', 'FI', 'GU', 'M', 'OF']
['HV', 'HH', 'EH', 'CE', 'PE']
['PX', 'QB', 'PI', 'HZ', 'IV']
['BO', 'DA', 'JV', 'BX', 'QI']
['NK', 'TE', 'HR', 'H', 'CR']
['A', 'HT', 'CN', 'QK', 'OU']
['DD', 'MF', 'LF', 'GE', 'HP']
['RG', 'DE', 'DU', 'SK', 'RJ']
['HL', 'PM', 'GA', 'FT', 'QL']
['JP', 'IT', 'IM', 'OW', 'PA']
['DQ', 'GK', 'LB', 'JE', 'BH']
['JM', 'DK', 'LN', 'EL', 'OZ']
['JH', 'RP', 'P', 'QG', 'HN']
['GT', 'FY', 'CV', 'L', 'HS']
['JS', 'MT', 'MZ', 'CU', 'DP']
['BV', 'KD', 'ML', 'KJ', 'SL']
['KK', 'HQ', 'SD', 'IS', 'NM']
['MR', 'HC', 'TB', 'QV', 'DW']
['SE', 'ET', 'QF', 'SI', 'GO']
['OP', 'QJ', 'BG', 'MV', 'F']
['FL', 'SG', 'KB', 'GC', 'NW']
['PC', 'EI', 'JT', 'RD', 'SR']
['QR', 'RL', 'EN', 'LH', 'RY']
['EO', 'KV', 'T', 'KH', 'ND']
['GP', 'FK', 'KT', 'BI', 'CS']
['DJ', 'GD', 'Q', 'JR', 'FP']
['DM', 'IC', 'D', 'CF', 'EM']
['PZ', 'PH', 'QY', 'LC', 'EA']
['SX', 'S', 'QO', 'NA', 'BT']
