['0', '180', '84', '371', '1', '407', '112', '214', '246', '340', '339', '449', '2', '43', '11', '69', '357', '314', '3', '360', '212', '4', '494', '223', '129']
['5', '328', '324', '6', '157', '261', '367', '358', '345', '7', '186', '427', '78', '233', '8', '273', '365', '387', '102', '262', '420', '9', '68', '406', '10']
['154', '252', '28', '441', '218', '250', '392', '17', '92', '12', '317', '211', '404', '299', '166', '30', '13', '58', '337', '305', '46', '14', '465', '341', '425']
['15', '485', '16', '63', '185', '255', '198', '231', '73', '18', '238', '450', '370', '107', '61', '148', '19', '266', '410', '257', '20', '164', '21', '264', '40']
['297', '230', '463', '202', '294', '395', '22', '308', '23', '108', '364', '368', '254', '495', '87', '24', '369', '25', '110', '26', '170', '440', '477', '336', '282']
['27', '288', '176', '174', '480', '29', '260', '439', '398', '431', '93', '239', '60', '31', '298', '205', '135', '479', '247', '32', '171', '390', '33', '242', '163']
['34', '438', '277', '77', '313', '454', '95', '272', '35', '167', '428', '36', '37', '155', '147', '280', '349', '184', '38', '426', '342', '496', '236', '265', '39']
['221', '448', '196', '409', '380', '44', '41', '375', '472', '388', '319', '405', '139', '106', '115', '240', '323', '165', '45', '284', '88', '47', '142', '220', '414']
['329', '48', '348', '49', '306', '159', '362', '50', '122', '361', '188', '56', '51', '350', '486', '417', '113', '111', '52', '383', '492', '497', '53', '169', '241']
['213', '54', '55', '469', '175', '237', '300', '290', '455', '310', '140', '75', '57', '466', '355', '366', '59', '453', '333', '203', '386', '491', '82', '145', '62']
['458', '64', '217', '385', '65', '411', '96', '161', '146', '66', '442', '156', '423', '67', '274', '235', '475', '287', '70', '461', '71', '418', '72', '209', '456']
['120', '74', '338', '473', '160', '429', '76', '377', '85', '301', '268', '79', '80', '416', '283', '81', '459', '136', '83', '327', '179', '86', '189', '131', '126']
['245', '200', '263', '412', '343', '89', '229', '90', '444', '91', '331', '124', '462', '94', '352', '356', '413', '285', '97', '271', '332', '98', '295', '215', '253']
['99', '168', '216', '100', '259', '101', '244', '382', '103', '433', '104', '105', '201', '137', '150', '353', '109', '232', '117', '243', '128', '114', '373', '400', '330']
['116', '249', '447', '187', '118', '488', '121', '119', '403', '394', '267', '123', '347', '248', '482', '125', '141', '415', '194', '127', '354', '389', '484', '219', '206']
['132', '291', '133', '138', '153', '149', '419', '452', '227', '143', '144', '256', '190', '292', '437', '210', '275', '151', '251', '315', '152', '303', '457', '372', '312']
['158', '493', '421', '162', '234', '204', '359', '460', '379', '173', '436', '293', '172', '432', '481', '467', '207', '487', '177', '178', '376', '181', '226', '191', '222']
['302', '335', '443', '192', '193', '397', '258', '195', '351', '435', '197', '199', '225', '384', '208', '289', '326', '464', '381', '471', '224', '399', '228', '270', '402']
['445', '396', '322', '446', '374', '474', '281', '279', '478', '422', '424', '499', '344', '296', '269', '316', '470', '276', '401', '278', '476', '430', '320', '434', '304']
['307', '490', '309', '311', '378', '318', '451', '321', '408', '498', '325', '489', '334', '391', '468', '483', '346', '363', '393', '42', '130', '134', '182', '183', '286']
