['1', '317', '231', '139', '465', '336', '272', '75', '243']
['193', '470', '309', '305', '33', '166', '311', '108', '293']
['87', '343', '2', '306', '150', '86', '284', '116', '262']
['129', '240', '385', '335', '386', '485', '290', '3', '456']
['148', '136', '159', '165', '371', '259', '187', '333']
['307', '39', '372', '318', '414', '83', '409', '4']
['54', '378', '496', '279', '268', '8', '57', '329']
['103', '72', '147', '114', '257', '498', '5', '130']
['258', '227', '183', '449', '73', '17', '213', '81']
['481', '6', '105', '429', '140', '120', '427', '125']
['281', '439', '266', '367', '221', '319', '437', '322']
['478', '131', '7', '423', '249', '285', '304', '143']
['381', '219', '45', '295', '177', '458', '288', '443']
['16', '393', '370', '9', '267', '88', '63', '191']
['176', '10', '107', '178', '401', '303', '342', '483']
['237', '361', '133', '46', '255', '188', '11', '233']
['226', '321', '360', '144', '430', '436', '56', '12']
['26', '315', '200', '92', '104', '97', '13', '408']
['463', '202', '369', '460', '389', '325', '65', '310']
['323', '14', '334', '359', '292', '214', '138', '78']
['96', '459', '15', '208', '444', '53', '468', '273']
['447', '492', '377', '115', '41', '252', '156', '254']
['123', '474', '410', '341', '415', '283', '405', '453']
['457', '18', '151', '399', '71', '216', '380', '407']
['19', '328', '162', '69', '35', '31', '218', '20']
['211', '434', '417', '232', '441', '164', '21', '287']
['355', '180', '195', '80', '387', '141', '22', '196']
['420', '440', '204', '382', '294', '23', '291', '203']
['424', '220', '215', '24', '230', '477', '197', '352']
['110', '384', '25', '175', '238', '270', '500', '482']
['455', '487', '27', '98', '222', '154', '448', '275']
['28', '77', '332', '276', '403', '400', '244', '486']
['29', '491', '60', '118', '314', '395', '312', '452']
['30', '271', '184', '189', '348', '390', '467', '153']
['102', '493', '398', '182', '168', '365', '454', '428']
['152', '32', '363', '480', '404', '366', '205', '340']
['62', '469', '224', '394', '362', '34', '490', '236']
['169', '299', '256', '117', '185', '353', '253', '206']
['338', '445', '250', '127', '91', '79', '61', '411']
['74', '397', '36', '392', '149', '488', '171', '346']
['37', '499', '209', '368', '85', '364', '38', '161']
['300', '44', '451', '201', '375', '198', '489', '247']
['76', '40', '228', '347', '351', '242', '280', '167']
['70', '137', '286', '42', '82', '190', '278', '43']
['308', '438', '263', '66', '484', '383', '239', '337']
['475', '59', '101', '89', '51', '316', '248', '47']
['217', '49', '179', '426', '48', '289', '265', '135']
['495', '94', '50', '450', '388', '282', '396', '373']
['90', '95', '52', '413', '296', '269', '172', '146']
['132', '406', '354', '431', '55', '225', '379', '412']
['246', '331', '464', '349', '212', '277', '58', '64']
['497', '264', '173', '462', '344', '419', '245', '422']
['122', '374', '111', '479', '418', '261', '421', '301']
['494', '302', '425', '67', '68', '320', '339', '356']
['119', '357', '471', '313', '142', '223', '358', '160']
['155', '330', '442', '121', '158', '210', '435', '472']
['113', '124', '327', '84', '229', '106', '145', '461']
['207', '345', '326', '93', '324', '476', '432', '126']
['192', '112', '298', '99', '100', '473', '260', '163']
['174', '241', '251', '109', '274', '446', '391', '170']
['157', '297', '199', '128', '194', '402', '376', '134']
['186', '235', '181', '433', '416', '234', '350', '466']
