['a', 'aaaaa', 'bbbbbbb', 'bbbb', 'bbb', 'bbbbbbbb', 'aaaaaaaa', 'bbbbbb', 'bbbbb', 'bb', 'b', 'aa', 'aaaaaa', 'aaaaaaa', 'aaaa', 'aaa']
['c', 'd', 'ccccccc', 'dddddddd', 'ddd', 'dd', 'cc', 'cccccccc', 'ddddd', 'ccccc', 'dddddd', 'ddddddd', 'dddd', 'cccc', 'cccccc', 'ccc']
['e', 'eeeeeee', 'ee', 'ffffff', 'eee', 'eeeeeeee', 'f', 'fff', 'eeeee', 'eeee', 'ff', 'eeeeee', 'fffff', 'ffff', 'fffffff', 'ffffffff']
['g', 'hhhhhh', 'hhhhh', 'gggggg', 'ggggg', 'hhhh', 'gggg', 'gggggggg', 'ggggggg', 'h', 'hh', 'hhhhhhh', 'hhh', 'gg', 'hhhhhhhh', 'ggg']
['i', 'jjjj', 'jjjjjjj', 'jj', 'iiiiiiii', 'iii', 'j', 'iiii', 'jjjjj', 'jjjjjj', 'ii', 'iiiii', 'jjj', 'iiiiiii', 'jjjjjjjj', 'iiiiii']
['k', 'lllllll', 'llll', 'llllll', 'll', 'kkkk', 'kkk', 'kkkkkkk', 'lllll', 'l', 'kk', 'llllllll', 'kkkkkk', 'lll', 'kkkkk', 'kkkkkkkk']
['m', 'nnnnn', 'mmmmmmm', 'nnnnnnnn', 'mmmm', 'nnnnnn', 'mmmmmmmm', 'n', 'mm', 'mmmmm', 'nnnn', 'mmm', 'mmmmmm', 'nnnnnnn', 'nn', 'nnn']
['o', 'oooooo', 'p', 'ppppp', 'ppp', 'oooooooo', 'pp', 'ppppppp', 'ooooo', 'oo', 'ooo', 'oooo', 'pppppppp', 'pppppp', 'ooooooo', 'pppp']
['q', 'qqqqqqq', 'r', 'qqqqqq', 'qq', 'rrrrrrr', 'rrrrrr', 'rrr', 'rr', 'rrrrr', 'qqqqq', 'qqqqqqqq', 'rrrrrrrr', 'rrrr', 'qqqq', 'qqq']
['s', 'tttttt', 'ssssss', 'ttttt', 'tt', 'ssssssss', 'ssss', 'ss', 't', 'ttttttt', 'ttt', 'tttt', 'sssss', 'tttttttt', 'sssssss', 'sss']
['u', 'uu', 'v', 'uuu', 'uuuu', 'vvvvvv', 'vvvv', 'uuuuuuu', 'vvvvv', 'vv', 'uuuuuuuu', 'vvvvvvvv', 'uuuuuu', 'vvvvvvv', 'uuuuu', 'vvv']
['w', 'wwww', 'xx', 'xxx', 'wwwww', 'x', 'xxxxxx', 'wwwwwwww', 'ww', 'xxxxxxxx', 'xxxxx', 'xxxxxxx', 'wwwwwww', 'xxxx', 'www', 'wwwwww']
['y', 'yyyy', 'zzz', 'zzzzzzz', 'z', 'zzzz', 'zzzzz', 'yyyyyyy', 'yyyyy', 'yyyyyy', 'yy', 'zz', 'zzzzzz', 'yyy', 'yyyyyyyy', 'zzzzzzzz']
['A', 'BBBBBB', 'AA', 'B', 'AAA', 'BBBBBBB', 'BBBB', 'AAAAAAA', 'BBBBB', 'BB', 'BBB', 'AAAA', 'BBBBBBBB', 'AAAAAAAA', 'AAAAA', 'AAAAAA']
['C', 'DDDD', 'CCCC', 'D', 'CCCCCC', 'CCCCC', 'CCCCCCC', 'DDDDDDDD', 'CC', 'DDDDD', 'DD', 'DDDDDDD', 'CCCCCCCC', 'CCC', 'DDDDDD', 'DDD']
['E', 'EE', 'FFFFFFF', 'FFF', 'EEEE', 'F', 'EEEEEEEE', 'FFFFFFFF', 'EEE', 'FFFF', 'FF', 'EEEEE', 'FFFFF', 'EEEEEEE', 'EEEEEE', 'FFFFFF']
['G', 'HHH', 'H', 'GGGG', 'HHHHHH', 'GGGGGGGG', 'GGGGGG', 'HHHH', 'HHHHHHH', 'HHHHHHHH', 'GGG', 'GGGGGGG', 'HHHHH', 'GG', 'HH', 'GGGGG']
['I', 'II', 'IIIIIII', 'III', 'IIIIIIII', 'JJJJJ', 'IIII', 'JJJ', 'J', 'JJJJJJ', 'JJJJJJJ', 'IIIII', 'IIIIII', 'JJ', 'JJJJJJJJ', 'JJJJ']
['K', 'KKKKKKKK', 'KKKKK', 'LLL', 'LLLLLLL', 'LLLLLL', 'KKKK', 'LLLLLLLL', 'KKKKKK', 'L', 'LLLLL', 'KK', 'LLLL', 'LL', 'KKK', 'KKKKKKK']
['M', 'NNNNNNN', 'MMM', 'NNN', 'MMMMMM', 'MMMMM', 'N', 'NNNNNN', 'MMMM', 'MMMMMMMM', 'MMMMMMM', 'MM', 'NNNNNNNN', 'NN', 'NNNN', 'NNNNN']
