['Vertex40', 'Vertex349', 'Vertex358', 'Vertex179', 'Vertex381', 'Vertex304', 'Vertex154', 'Vertex163', 'Vertex69', 'Vertex223']
['Vertex158', 'Vertex346', 'Vertex289', 'Vertex183', 'Vertex348', 'Vertex376', 'Vertex125', 'Vertex285', 'Vertex142', 'Vertex275']
['Vertex126', 'Vertex342', 'Vertex214', 'Vertex292', 'Vertex153', 'Vertex147', 'Vertex61', 'Vertex287', 'Vertex86', 'Vertex170']
['Vertex239', 'Vertex229', 'Vertex106', 'Vertex84', 'Vertex190', 'Vertex335', 'Vertex218', 'Vertex135', 'Vertex44', 'Vertex435']
['Vertex262', 'Vertex138', 'Vertex272', 'Vertex419', 'Vertex56', 'Vertex41', 'Vertex63', 'Vertex203', 'Vertex130', 'Vertex355']
['Vertex113', 'Vertex199', 'Vertex206', 'Vertex351', 'Vertex394', 'Vertex80', 'Vertex379', 'Vertex436', 'Vertex198', 'Vertex155']
['Vertex124', 'Vertex263', 'Vertex429', 'Vertex341', 'Vertex62', 'Vertex340', 'Vertex78', 'Vertex269', 'Vertex387', 'Vertex150']
['Vertex316', 'Vertex192', 'Vertex71', 'Vertex219', 'Vertex378', 'Vertex73', 'Vertex148', 'Vertex284', 'Vertex119', 'Vertex247']
['Vertex408', 'Vertex364', 'Vertex104', 'Vertex372', 'Vertex389', 'Vertex42', 'Vertex325', 'Vertex47', 'Vertex186', 'Vertex162']
['Vertex81', 'Vertex386', 'Vertex103', 'Vertex327', 'Vertex97', 'Vertex336', 'Vertex439', 'Vertex374', 'Vertex217', 'Vertex122']
['Vertex134', 'Vertex77', 'Vertex395', 'Vertex222', 'Vertex303', 'Vertex404', 'Vertex380', 'Vertex140', 'Vertex280', 'Vertex136']
['Vertex102', 'Vertex94', 'Vertex264', 'Vertex388', 'Vertex194', 'Vertex353', 'Vertex66', 'Vertex238', 'Vertex93', 'Vertex426']
['Vertex98', 'Vertex43', 'Vertex300', 'Vertex79', 'Vertex253', 'Vertex87', 'Vertex107', 'Vertex261', 'Vertex160', 'Vertex421']
['Vertex296', 'Vertex145', 'Vertex211', 'Vertex241', 'Vertex384', 'Vertex430', 'Vertex302', 'Vertex152', 'Vertex215', 'Vertex400']
['Vertex308', 'Vertex230', 'Vertex267', 'Vertex366', 'Vertex59', 'Vertex276', 'Vertex85', 'Vertex70', 'Vertex249', 'Vertex357']
['Vertex273', 'Vertex312', 'Vertex167', 'Vertex54', 'Vertex382', 'Vertex282', 'Vertex237', 'Vertex393', 'Vertex320', 'Vertex431']
['Vertex397', 'Vertex157', 'Vertex108', 'Vertex412', 'Vertex99', 'Vertex274', 'Vertex53', 'Vertex45', 'Vertex224', 'Vertex189']
['Vertex409', 'Vertex220', 'Vertex392', 'Vertex109', 'Vertex338', 'Vertex434', 'Vertex344', 'Vertex137', 'Vertex114', 'Vertex385']
['Vertex208', 'Vertex370', 'Vertex74', 'Vertex221', 'Vertex90', 'Vertex399', 'Vertex225', 'Vertex405', 'Vertex161', 'Vertex195']
['Vertex46', 'Vertex156', 'Vertex245', 'Vertex334', 'Vertex65', 'Vertex210', 'Vertex51', 'Vertex424', 'Vertex171', 'Vertex271']
['Vertex252', 'Vertex250', 'Vertex181', 'Vertex200', 'Vertex329', 'Vertex256', 'Vertex413', 'Vertex118', 'Vertex268', 'Vertex305']
['Vertex178', 'Vertex139', 'Vertex333', 'Vertex254', 'Vertex257', 'Vertex196', 'Vertex311', 'Vertex60', 'Vertex339', 'Vertex298']
['Vertex251', 'Vertex270', 'Vertex290', 'Vertex301', 'Vertex226', 'Vertex315', 'Vertex131', 'Vertex48', 'Vertex144', 'Vertex49']
['Vertex407', 'Vertex243', 'Vertex92', 'Vertex403', 'Vertex72', 'Vertex352', 'Vertex205', 'Vertex141', 'Vertex362', 'Vertex297']
['Vertex428', 'Vertex151', 'Vertex233', 'Vertex299', 'Vertex377', 'Vertex83', 'Vertex323', 'Vertex319', 'Vertex246', 'Vertex159']
['Vertex197', 'Vertex117', 'Vertex266', 'Vertex259', 'Vertex110', 'Vertex50', 'Vertex100', 'Vertex410', 'Vertex112', 'Vertex176']
['Vertex401', 'Vertex207', 'Vertex185', 'Vertex133', 'Vertex52', 'Vertex177', 'Vertex216', 'Vertex234', 'Vertex291', 'Vertex418']
['Vertex318', 'Vertex209', 'Vertex236', 'Vertex165', 'Vertex367', 'Vertex88', 'Vertex129', 'Vertex309', 'Vertex307', 'Vertex242']
['Vertex417', 'Vertex132', 'Vertex328', 'Vertex121', 'Vertex91', 'Vertex182', 'Vertex255', 'Vertex265', 'Vertex343', 'Vertex201']
['Vertex347', 'Vertex360', 'Vertex64', 'Vertex143', 'Vertex75', 'Vertex414', 'Vertex68', 'Vertex286', 'Vertex283', 'Vertex281']
['Vertex146', 'Vertex277', 'Vertex432', 'Vertex175', 'Vertex322', 'Vertex433', 'Vertex420', 'Vertex232', 'Vertex248', 'Vertex415']
['Vertex240', 'Vertex356', 'Vertex235', 'Vertex212', 'Vertex244', 'Vertex427', 'Vertex187', 'Vertex82', 'Vertex55', 'Vertex345']
['Vertex57', 'Vertex314', 'Vertex191', 'Vertex369', 'Vertex193', 'Vertex371', 'Vertex231', 'Vertex149', 'Vertex416', 'Vertex294']
['Vertex188', 'Vertex202', 'Vertex227', 'Vertex359', 'Vertex58', 'Vertex293', 'Vertex164', 'Vertex279', 'Vertex437', 'Vertex101']
['Vertex425', 'Vertex180', 'Vertex330', 'Vertex67', 'Vertex288', 'Vertex76', 'Vertex166', 'Vertex169', 'Vertex127', 'Vertex383']
['Vertex422', 'Vertex105', 'Vertex326', 'Vertex204', 'Vertex213', 'Vertex363', 'Vertex317', 'Vertex172', 'Vertex354', 'Vertex368']
['Vertex390', 'Vertex111', 'Vertex406', 'Vertex396', 'Vertex89', 'Vertex321', 'Vertex365', 'Vertex423', 'Vertex350', 'Vertex313']
['Vertex306', 'Vertex411', 'Vertex295', 'Vertex174', 'Vertex361', 'Vertex337', 'Vertex332', 'Vertex260', 'Vertex398', 'Vertex258']
['Vertex123', 'Vertex128', 'Vertex116', 'Vertex168', 'Vertex310', 'Vertex115', 'Vertex375', 'Vertex324', 'Vertex391', 'Vertex331']
['Vertex120', 'Vertex184', 'Vertex438', 'Vertex402', 'Vertex278', 'Vertex228', 'Vertex173', 'Vertex95', 'Vertex96', 'Vertex373']
