['49', '262', '54', '204', '69', '203', '29', '267', '87', '209', '169', '298', '304', '299']
['243', '76', '140', '214', '13', '107', '150', '105', '192', '68', '106', '25', '141', '249']
['52', '35', '176', '160', '66', '164', '99', '67', '216', '125', '115', '81', '188', '131']
['224', '178', '59', '200', '146', '219', '28', '97', '147', '239', '297', '3', '80', '42']
['88', '233', '248', '221', '103', '70', '168', '153', '190', '196', '157', '12', '306', '240']
['245', '187', '0', '174', '260', '251', '154', '258', '303', '165', '7', '191', '302', '83']
['259', '293', '61', '280', '2', '220', '10', '84', '77', '273', '213', '237', '270', '152']
['56', '139', '137', '193', '75', '181', '272', '144', '292', '64', '172', '73', '46', '50']
['5', '94', '222', '108', '227', '228', '47', '90', '148', '138', '20', '60', '159', '275']
['288', '264', '48', '32', '247', '79', '210', '15', '122', '161', '8', '101', '63', '111']
['113', '217', '127', '145', '212', '261', '266', '14', '182', '255', '305', '180', '250', '265']
['117', '177', '18', '281', '27', '21', '186', '226', '128', '211', '37', '26', '44', '271']
['278', '195', '96', '126', '277', '155', '225', '274', '58', '218', '246', '85', '199', '207']
['241', '294', '253', '119', '276', '130', '9', '300', '295', '86', '116', '17', '166', '185']
['121', '236', '254', '296', '36', '286', '244', '95', '82', '167', '184', '279', '62', '112']
['33', '23', '156', '65', '151', '282', '142', '163', '74', '223', '11', '39', '208', '34']
['30', '189', '100', '133', '57', '78', '92', '215', '114', '53', '109', '129', '149', '197']
['51', '290', '252', '31', '205', '41', '206', '231', '102', '72', '4', '22', '170', '283']
['202', '171', '132', '40', '98', '162', '91', '43', '135', '175', '301', '229', '24', '1']
['124', '268', '242', '136', '110', '198', '118', '287', '269', '45', '173', '134', '19', '104']
['257', '201', '120', '291', '230', '55', '285', '256', '263', '38', '289', '232', '238', '234']
['194', '158', '6', '71', '179', '89', '284', '123', '93', '143', '183', '16', '235']
