['39', '66', '438', '53', '56']
['350', '200', '209', '317', '233']
['262', '417', '314', '215', '300']
['436', '238', '306', '165', '132']
['281', '287', '158', '174', '61']
['456', '173', '442', '73', '62']
['224', '189', '99', '181', '69']
['397', '383', '63', '451', '35']
['57', '100', '361', '368', '65']
['232', '396', '463', '229', '394']
['124', '355', '342', '263', '140']
['301', '391', '320', '437', '419']
['80', '385', '92', '83', '40']
['14', '485', '151', '472', '231']
['333', '357', '310', '261', '10']
['41', '162', '430', '465', '137']
['260', '343', '29', '11', '37']
['475', '371', '405', '186', '395']
['218', '45', '380', '407', '338']
['358', '289', '488', '443', '109']
['353', '214', '108', '90', '110']
['409', '302', '415', '161', '191']
['349', '130', '433', '128', '235']
['219', '372', '225', '102', '339']
['88', '58', '13', '454', '481']
['172', '0', '187', '96', '249']
['426', '202', '334', '176', '414']
['147', '179', '427', '246', '48']
['422', '67', '305', '279', '461']
['282', '223', '244', '381', '384']
['36', '330', '345', '134', '60']
['248', '462', '26', '164', '84']
['175', '190', '494', '150', '28']
['424', '365', '448', '112', '236']
['325', '178', '309', '237', '378']
['460', '315', '292', '135', '113']
['242', '375', '404', '38', '9']
['269', '369', '160', '64', '85']
['204', '121', '68', '25', '497']
['104', '446', '321', '133', '351']
['21', '303', '498', '213', '276']
['52', '493', '126', '270', '323']
['170', '136', '46', '331', '220']
['195', '87', '484', '59', '194']
['486', '180', '182', '455', '439']
['295', '75', '168', '294', '348']
['197', '240', '466', '477', '425']
['79', '280', '377', '452', '479']
['265', '387', '19', '496', '206']
['480', '54', '226', '340', '116']
['259', '118', '492', '445', '47']
['241', '490', '459', '373', '327']
['245', '313', '307', '210', '362']
['428', '449', '205', '24', '386']
['401', '264', '120', '495', '2']
['152', '408', '243', '201', '299']
['347', '268', '435', '421', '141']
['470', '207', '482', '278', '49']
['163', '476', '319', '95', '106']
['293', '356', '27', '418', '77']
['127', '483', '177', '23', '72']
['101', '286', '413', '139', '70']
['390', '1', '468', '382', '267']
['285', '103', '91', '5', '370']
['3', '7', '411', '328', '8']
['359', '322', '398', '447', '363']
['82', '154', '230', '364', '318']
['22', '410', '444', '432', '379']
['311', '119', '499', '332', '227']
['208', '367', '257', '271', '453']
['30', '143', '122', '105', '169']
['326', '6', '94', '429', '474']
['159', '98', '16', '144', '239']
['114', '148', '183', '138', '308']
['86', '273', '222', '392', '12']
['441', '50', '434', '131', '76']
['149', '155', '4', '423', '185']
['171', '255', '93', '393', '117']
['266', '464', '288', '291', '31']
['341', '389', '43', '34', '33']
['467', '234', '203', '277', '420']
['81', '360', '316', '193', '44']
['253', '431', '142', '366', '489']
['18', '296', '272', '196', '254']
['55', '399', '167', '487', '125']
['211', '324', '157', '344', '146']
['388', '458', '145', '198', '469']
['457', '403', '115', '221', '15']
['251', '199', '406', '111', '184']
['354', '192', '258', '20', '337']
['256', '71', '42', '304', '478']
['153', '275', '247', '32', '473']
['471', '97', '312', '252', '123']
['374', '450', '346', '416', '412']
['298', '216', '51', '107', '212']
['336', '78', '284', '297', '352']
['228', '217', '335', '250', '491']
['274', '166', '188', '17', '402']
['89', '74', '283', '440', '156']
['329', '400', '290', '376', '129']
