['9941', '9884', '243', '9905']
['9857', '9869', '220', '96']
['144', '41', '9767']
['9779', '145', '9853']
['129', '9762', '9798']
['8', '9926', '9777']
['9757', '250', '114']
['9909', '77', '9786']
['9791', '9868', '9954']
['172', '51', '5']
['9978', '165', '9920']
['9758', '9799', '178']
['210', '27', '240']
['50', '188', '37']
['9955', '212', '9851']
['31', '71', '44']
['9893', '246', '249']
['9855', '16', '9870']
['113', '9809', '75']
['9900', '9883', '46']
['89', '70', '9860']
['183', '9959', '204']
['116', '9974', '9839']
['40', '9947', '138']
['52', '23', '130']
['9965', '15', '9892']
['9946', '234', '100']
['9950', '9998', '104']
['24', '9833', '9960']
['9957', '9754', '9970']
['9985', '102', '34']
['9949', '175', '9792']
['9854', '86', '191']
['9766', '14', '9964']
['9975', '227', '56']
['9756', '9901', '74']
['156', '153', '9805']
['61', '9750', '49']
['149', '9929', '119']
['121', '9774', '9948']
['192', '83', '217']
['196', '211', '9843']
['25', '158', '9871']
['10', '143', '154']
['225', '9838', '9765']
['9886', '160', '9794']
['9751', '229', '146']
['9837', '166', '9890']
['9988', '9906', '9861']
['32', '9867', '9817']
['9848', '9969', '137']
['9769', '9806', '9915']
['9830', '131', '186']
['9816', '9807', '9896']
['4', '9990', '9793']
['9911', '9872', '177']
['22', '9945', '12']
['9889', '57', '176']
['9783', '9880', '9772']
['9882', '111', '97']
['20', '163', '9980']
['136', '9773', '48']
['101', '98', '65']
['9916', '9999', '9864']
['233', '125', '185']
['18', '169', '226']
['205', '9917', '109']
['9984', '162', '9912']
['214', '195', '94']
['180', '84', '9933']
['9789', '9968', '9903']
['80', '9836', '207']
['9951', '9987', '161']
['9942', '132', '2']
['9831', '241', '9996']
['9956', '54', '9898']
['95', '9828', '222']
['9759', '9952', '9879']
['9811', '9976', '3']
['9907', '9856', '202']
['9847', '9823', '135']
['9771', '9973', '9768']
['223', '9827', '107']
['9877', '198', '9878']
['26', '99', '9821']
['9835', '53', '9825']
['88', '9986', '79']
['9781', '231', '193']
['9934', '9796', '29']
['9958', '9797', '9925']
['120', '9862', '209']
['9937', '66', '9939']
['9776', '151', '9850']
['9800', '39', '9826']
['208', '9824', '115']
['9989', '247', '9993']
['218', '9938', '68']
['9841', '219', '9801']
['9785', '9919', '78']
['9842', '9983', '9782']
['118', '91', '9852']
['237', '9844', '190']
['9761', '90', '9891']
['9991', '174', '9840']
['9992', '9962', '127']
['9829', '9997', '123']
['228', '60', '1']
['9755', '9', '9908']
['155', '9819', '152']
['9881', '9787', '147']
['93', '9875', '9803']
['9921', '9845', '58']
['141', '199', '43']
['9888', '9874', '9876']
['157', '159', '9977']
['9753', '9846', '55']
['9927', '182', '9913']
['21', '242', '9914']
['9804', '9936', '103']
['69', '170', '9764']
['105', '47', '187']
['59', '38', '117']
['19', '9873', '9967']
['9930', '215', '9928']
['67', '85', '179']
['9770', '13', '194']
['28', '72', '122']
['236', '9910', '248']
['9994', '221', '9815']
['9887', '128', '9931']
['9918', '82', '200']
['9780', '171', '9832']
['45', '139', '148']
['9790', '42', '76']
['6', '216', '9788']
['181', '126', '235']
['9935', '64', '230']
['9866', '9899', '150']
['9863', '213', '9858']
['142', '9979', '224']
['7', '9923', '63']
['110', '9818', '9995']
['203', '17', '184']
['9932', '9834', '9808']
['9902', '9894', '9763']
['9812', '9966', '244']
['36', '9865', '173']
['167', '9885', '33']
['140', '9760', '9924']
['9940', '92', '9849']
['239', '238', '112']
['9778', '73', '81']
['189', '9802', '35']
['9972', '9822', '9784']
['30', '168', '134']
['9895', '9795', '9813']
['206', '106', '87']
['9961', '245', '164']
['9943', '9971', '9775']
['9810', '9752', '232']
['62', '9963', '9944']
['11', '9897', '9820']
['197', '201', '133']
['9981', '9859', '9982']
['9814', '9904', '9922']
['9953', '124', '108']
