['MasterBeetleTheGreatRobotSniffer', 'DuchessBarneyTheMightyMonsterSniffer', 'DuchessBeetleTheBraveDragonEater', 'MasterShadowTheTrueDragonSniffer', 'SirShadowTheBraveZombieMaker', 'MasterSushiTheHeroicZombieHunter', 'LordBeetleTheGreatZombieSniffer', 'QueenBarneyTheGreatVampireEater', 'QueenFluffyTheBraveRobotHunter', 'DukeTrinityTheGreatDragonEater', 'DukeJellyTheBraveZombieEater', 'MadameBeetleTheBraveVampireFinder', 'DukeShadowTheBraveRobotFinder', 'QueenJellyTheHeroicVampireHunter', 'LordSushiTheHeroicDragonMaker', 'DuchessFluffyTheGreatZombieSniffer', 'LordSushiTheBraveZombieSniffer', 'QueenShadowTheHeroicMonsterSniffer', 'LordBarneyTheBraveVampireHunter', 'QueenSushiTheHeroicVampireFinder']
['LordSushiTheBraveDragonSniffer', 'QueenSushiTheMightyMonsterEater', 'QueenBarneyTheTrueRobotFinder', 'LordBarneyTheHeroicVampireHunter', 'DuchessBarneyTheBraveZombieHunter', 'DukeJellyTheGreatMonsterFinder', 'MadameTrinityTheBraveZombieSniffer', 'MasterShadowTheTrueZombieEater', 'SirBeetleTheMightyVampireFinder', 'LordBeetleTheMightyZombieSniffer', 'MasterJellyTheMightyZombieEater', 'DuchessBeetleTheGreatMonsterEater', 'LordShadowTheBraveVampireFinder', 'MadameShadowTheGreatDragonEater', 'MasterFluffyTheTrueMonsterFinder', 'QueenJellyTheMightyZombieFinder', 'QueenJellyTheGreatMonsterFinder', 'LordJellyTheMightyRobotEater', 'SirBeetleTheBraveZombieMaker', 'LordBeetleTheBraveDragonHunter']
['MasterBarneyTheTrueVampireSniffer', 'LordJellyTheBraveVampireSniffer', 'MasterJellyTheMightyRobotEater', 'LordFluffyTheGreatVampireSniffer', 'SirBeetleTheBraveZombieEater', 'MadameShadowTheMightyVampireEater', 'DuchessBeetleTheTrueZombieEater', 'DukeSushiTheBraveDragonFinder', 'DuchessFluffyTheTrueRobotFinder', 'MadameTrinityTheBraveMonsterSniffer', 'SirSushiTheBraveDragonMaker', 'DuchessBarneyTheMightyVampireFinder', 'SirShadowTheBraveRobotHunter', 'LordBarneyTheMightyRobotFinder', 'MasterBarneyTheTrueMonsterMaker', 'SirFluffyTheHeroicZombieSniffer', 'MasterSushiTheTrueZombieFinder', 'MadameJellyTheGreatZombieMaker', 'MasterTrinityTheBraveDragonHunter', 'MadameTrinityTheHeroicZombieFinder']
['SirSushiTheMightyDragonEater', 'DuchessSushiTheHeroicDragonFinder', 'DuchessFluffyTheGreatRobotEater', 'QueenTrinityTheHeroicRobotSniffer', 'DukeFluffyTheMightyZombieHunter', 'QueenBarneyTheGreatVampireSniffer', 'MasterFluffyTheHeroicMonsterEater', 'DukeShadowTheBraveVampireHunter', 'MadameJellyTheTrueMonsterHunter', 'MasterJellyTheHeroicRobotHunter', 'MadameBarneyTheGreatMonsterSniffer', 'LordJellyTheGreatVampireSniffer', 'LordShadowTheBraveVampireHunter', 'SirJellyTheHeroicZombieEater', 'MadameShadowTheBraveRobotEater', 'DuchessBarneyTheBraveZombieMaker', 'DuchessBarneyTheGreatDragonHunter', 'MadameSushiTheMightyVampireHunter', 'MasterTrinityTheBraveMonsterEater', 'QueenBeetleTheBraveVampireMaker']
['DuchessFluffyTheMightyRobotMaker', 'SirSushiTheTrueRobotFinder', 'DukeSushiTheMightyVampireEater', 'LordBeetleTheHeroicZombieFinder', 'LordFluffyTheBraveZombieFinder', 'QueenJellyTheMightyMonsterMaker', 'LordFluffyTheMightyDragonSniffer', 'LordSushiTheGreatMonsterSniffer', 'MasterJellyTheGreatZombieHunter', 'MadameBarneyTheMightyRobotHunter', 'MasterFluffyTheMightyMonsterMaker', 'DuchessJellyTheGreatMonsterSniffer', 'SirBarneyTheTrueVampireEater', 'MadameJellyTheBraveVampireEater', 'DuchessShadowTheTrueZombieHunter', 'MadameBarneyTheGreatRobotEater', 'SirFluffyTheTrueMonsterFinder', 'DukeSushiTheHeroicZombieHunter', 'DukeBeetleTheMightyRobotHunter', 'LordSushiTheHeroicVampireMaker']
['MasterBeetleTheMightyVampireMaker', 'QueenTrinityTheBraveVampireEater', 'DuchessBeetleTheMightyMonsterEater', 'MasterJellyTheTrueDragonMaker', 'LordFluffyTheMightyRobotSniffer', 'DukeShadowTheGreatMonsterEater', 'SirFluffyTheGreatMonsterHunter', 'LordShadowTheHeroicDragonHunter', 'QueenBarneyTheMightyMonsterEater', 'DuchessBeetleTheTrueZombieFinder', 'MasterShadowTheHeroicMonsterSniffer', 'SirTrinityTheGreatDragonFinder', 'MasterBeetleTheTrueVampireHunter', 'QueenFluffyTheBraveRobotFinder', 'SirShadowTheGreatRobotSniffer', 'SirBarneyTheBraveRobotHunter', 'MadameJellyTheHeroicZombieEater', 'MadameSushiTheHeroicDragonEater', 'DuchessShadowTheHeroicVampireSniffer', 'DukeShadowTheGreatDragonEater']
['MasterBeetleTheTrueMonsterFinder', 'MasterTrinityTheMightyVampireMaker', 'LordSushiTheTrueMonsterEater', 'MasterTrinityTheHeroicRobotFinder', 'LordBeetleTheBraveDragonFinder', 'MasterBeetleTheTrueVampireMaker', 'QueenBarneyTheBraveMonsterHunter', 'SirShadowTheBraveMonsterMaker', 'DukeBeetleTheTrueMonsterEater', 'MadameJellyTheBraveDragonEater', 'QueenFluffyTheMightyRobotEater', 'DukeShadowTheMightyRobotEater', 'QueenShadowTheBraveRobotEater', 'MadameSushiTheGreatVampireSniffer', 'DukeFluffyTheMightyZombieFinder', 'QueenTrinityTheHeroicVampireMaker', 'LordBeetleTheMightyMonsterMaker', 'DukeJellyTheMightyDragonFinder', 'MasterBeetleTheHeroicZombieMaker', 'QueenTrinityTheBraveZombieHunter']
['QueenTrinityTheGreatVampireEater', 'LordFluffyTheTrueMonsterMaker', 'QueenBarneyTheMightyDragonSniffer', 'MasterShadowTheGreatRobotHunter', 'LordJellyTheTrueMonsterMaker', 'QueenFluffyTheMightyVampireEater', 'MadameShadowTheBraveZombieHunter', 'DuchessTrinityTheGreatVampireFinder', 'SirTrinityTheGreatRobotFinder', 'SirBeetleTheBraveRobotHunter', 'QueenSushiTheTrueVampireEater', 'QueenJellyTheGreatZombieMaker', 'SirBarneyTheTrueDragonMaker', 'SirShadowTheMightyDragonMaker', 'QueenTrinityTheHeroicDragonFinder', 'QueenBarneyTheMightyRobotFinder', 'SirBeetleTheHeroicMonsterEater', 'MadameBeetleTheTrueZombieMaker', 'MadameFluffyTheHeroicVampireMaker', 'QueenJellyTheGreatRobotMaker']
['LordSushiTheHeroicRobotMaker', 'SirJellyTheBraveRobotHunter', 'SirJellyTheTrueVampireSniffer', 'SirTrinityTheHeroicVampireFinder', 'SirShadowTheBraveZombieFinder', 'DuchessSushiTheGreatRobotSniffer', 'LordTrinityTheHeroicVampireEater', 'LordFluffyTheTrueMonsterSniffer', 'DukeShadowTheTrueMonsterEater', 'DukeTrinityTheBraveRobotEater', 'DukeBeetleTheGreatDragonHunter', 'MadameSushiTheMightyMonsterEater', 'MadameShadowTheMightyDragonEater', 'QueenFluffyTheBraveDragonFinder', 'SirJellyTheTrueVampireFinder', 'MadameJellyTheGreatVampireFinder', 'MasterSushiTheMightyMonsterEater', 'QueenBarneyTheBraveVampireHunter', 'LordTrinityTheMightyDragonEater', 'QueenFluffyTheTrueZombieHunter']
['DukeShadowTheBraveRobotHunter', 'QueenTrinityTheTrueRobotMaker', 'MadameBarneyTheMightyZombieEater', 'DukeJellyTheTrueMonsterMaker', 'MadameSushiTheTrueRobotEater', 'MasterTrinityTheHeroicMonsterSniffer', 'SirFluffyTheTrueZombieHunter', 'MadameJellyTheHeroicDragonEater', 'DuchessBarneyTheGreatMonsterFinder', 'MadameJellyTheTrueVampireHunter', 'MasterJellyTheHeroicMonsterHunter', 'LordFluffyTheMightyMonsterSniffer', 'DuchessBeetleTheTrueZombieSniffer', 'MasterBarneyTheHeroicDragonEater', 'QueenSushiTheTrueVampireMaker', 'LordJellyTheBraveZombieEater', 'DuchessBeetleTheMightyMonsterFinder', 'DukeTrinityTheGreatMonsterEater', 'DukeBarneyTheHeroicRobotFinder', 'MadameJellyTheBraveDragonHunter']
['MadameSushiTheBraveRobotSniffer', 'MasterFluffyTheTrueMonsterEater', 'MasterFluffyTheBraveRobotHunter', 'MadameTrinityTheGreatZombieEater', 'DukeShadowTheMightyMonsterMaker', 'MadameTrinityTheGreatDragonSniffer', 'MadameSushiTheMightyRobotMaker', 'LordFluffyTheHeroicMonsterHunter', 'DukeBeetleTheHeroicMonsterFinder', 'MasterBeetleTheMightyDragonMaker', 'MadameBarneyTheTrueMonsterFinder', 'SirJellyTheBraveZombieFinder', 'QueenBeetleTheMightyRobotMaker', 'QueenBeetleTheGreatDragonSniffer', 'SirTrinityTheGreatRobotMaker', 'LordFluffyTheBraveVampireHunter', 'SirShadowTheGreatRobotMaker', 'MadameFluffyTheHeroicDragonMaker', 'SirBeetleTheGreatZombieEater', 'LordBeetleTheHeroicMonsterMaker']
