['V', 'PU', 'CF', 'FM', 'KP']
['QH', 'MG', 'BA', 'KU', 'CD']
['OH', 'IH', 'EB', 'CW', 'PO']
['DL', 'RM', 'SF', 'GT', 'CN']
['IS', 'KA', 'QG', 'NM', 'HI']
['TA', 'FE', 'RT', 'NA', 'LU']
['QX', 'DQ', 'SD', 'MD', 'JM']
['EO', 'JD', 'BQ', 'Y', 'OP']
['FT', 'IN', 'IM', 'GJ', 'CP']
['FC', 'OC', 'B', 'Q', 'NK']
['HK', 'W', 'FW', 'BN', 'NR']
['FG', 'ND', 'ET', 'IL', 'SL']
['CI', 'EV', 'LH', 'QO', 'EI']
['EY', 'KQ', 'RH', 'I', 'BY']
['BM', 'PJ', 'DR', 'OZ', 'LO']
['EF', 'HJ', 'DS', 'GY', 'FN']
['SS', 'FY', 'MQ', 'SX', 'HE']
['DX', 'JF', 'QP', 'JT', 'GX']
['DO', 'EM', 'PT', 'JN', 'QA']
['ED', 'Z', 'RG', 'KG', 'DT']
['KJ', 'ML', 'LI', 'SI', 'BP']
['BK', 'DF', 'LK', 'PF', 'PN']
['RC', 'IC', 'IP', 'II', 'QW']
['IQ', 'NU', 'NE', 'QQ', 'JI']
['MS', 'SB', 'HO', 'MA', 'NT']
['TC', 'HU', 'JA', 'JW', 'OX']
['EH', 'G', 'N', 'GL', 'S']
['NC', 'QF', 'MO', 'QI', 'IT']
['LR', 'SG', 'QC', 'BI', 'EG']
['HC', 'GG', 'GB', 'LV', 'OM']
['MH', 'OO', 'BH', 'PW', 'DE']
['BC', 'ON', 'NF', 'JZ', 'BV']
['KF', 'SW', 'BG', 'GO', 'HL']
['EA', 'CG', 'PZ', 'PQ', 'FB']
['FX', 'HW', 'ID', 'CH', 'BE']
['CC', 'RR', 'PE', 'RL', 'D']
['HM', 'HN', 'KM', 'HZ', 'CQ']
['QT', 'OE', 'LA', 'QR', 'LN']
['IZ', 'CU', 'KR', 'PY', 'SY']
['O', 'IE', 'BU', 'OG', 'KE']
['HV', 'LQ', 'JS', 'KS', 'SM']
['NS', 'IK', 'X', 'SO', 'OB']
['C', 'IB', 'TB', 'FL', 'OW']
['NP', 'NB', 'EN', 'HB', 'TD']
['QL', 'LS', 'LX', 'CE', 'MV']
['KK', 'CS', 'OJ', 'OL', 'BD']
['OA', 'JL', 'FQ', 'KV', 'SC']
['EL', 'KH', 'LB', 'DY', 'GQ']
['DB', 'P', 'FF', 'EX', 'EK']
['JH', 'MJ', 'A', 'BB', 'NY']
['PC', 'MI', 'HH', 'JQ', 'DD']
['PB', 'KO', 'CM', 'LY', 'FJ']
['OQ', 'SK', 'OD', 'CA', 'RD']
['MW', 'RJ', 'IG', 'BZ', 'BT']
['LT', 'GH', 'E', 'GI', 'OU']
['OY', 'PK', 'DC', 'RO', 'SA']
['NI', 'GP', 'KX', 'GR', 'FK']
['JO', 'FV', 'NZ', 'EZ', 'HT']
['FP', 'FI', 'PX', 'KD', 'RF']
['RB', 'NW', 'SU', 'OV', 'RV']
['EU', 'QB', 'MY', 'SN', 'HG']
['BX', 'HX', 'EJ', 'OS', 'BL']
['KY', 'GC', 'U', 'FH', 'EW']
['RN', 'QE', 'J', 'PR', 'IR']
['CK', 'M', 'CL', 'BJ', 'NQ']
['JY', 'SP', 'DZ', 'DU', 'QZ']
['RU', 'PV', 'FO', 'TE', 'CT']
['RK', 'PA', 'HD', 'SJ', 'MF']
['KN', 'KT', 'LP', 'GZ', 'T']
['RZ', 'JR', 'EC', 'F', 'RE']
['ST', 'MB', 'K', 'LF', 'KB']
['SH', 'QD', 'DJ', 'FA', 'CX']
['IJ', 'ME', 'NO', 'SR', 'GV']
['QY', 'MU', 'EQ', 'CB', 'MZ']
['IU', 'CO', 'QS', 'QJ', 'LJ']
['MR', 'OI', 'CZ', 'FU', 'IO']
['GU', 'OF', 'KL', 'JV', 'PG']
['GF', 'IF', 'DP', 'LD', 'HA']
['MP', 'JU', 'MX', 'PI', 'QM']
['NV', 'HP', 'RI', 'CR', 'BO']
['LL', 'RY', 'CJ', 'JP', 'HF']
['PM', 'JB', 'FZ', 'SE', 'BR']
['CV', 'DV', 'DK', 'HS', 'MK']
['GW', 'PL', 'FR', 'PP', 'PH']
['HY', 'KZ', 'DH', 'FS', 'OR']
['NN', 'ER', 'DI', 'EE', 'RW']
['JJ', 'CY', 'MC', 'JX', 'LZ']
['DM', 'GD', 'GS', 'IV', 'L']
['GM', 'DW', 'DG', 'FD', 'SV']
['RQ', 'RA', 'MM', 'IW', 'GN']
['KC', 'BW', 'NL', 'BS', 'GE']
['IX', 'SQ', 'PD', 'BF', 'R']
['QN', 'HR', 'LC', 'JE', 'RP']
['LM', 'JK', 'PS', 'OK', 'MN']
['JC', 'GA', 'NH', 'LE', 'IY']
['LW', 'MT', 'KI', 'SZ', 'QK']
['EP', 'IA', 'QU', 'QV', 'DN']
['RS', 'H', 'ES', 'NX', 'KW']
['TF', 'HQ', 'DA', 'NJ', 'LG']
['NG', 'OT', 'GK', 'RX', 'JG']
