['60', '56', '216', '223', '108', '38', '58']
['5', '34', '162', '1', '68', '48', '244']
['120', '176', '19', '130', '31', '213', '137']
['78', '238', '85', '84', '64', '109', '15']
['207', '154', '21', '14', '152', '209', '4']
['178', '153', '91', '231', '196', '181', '217']
['236', '156', '240', '53', '20', '242', '166']
['245', '17', '49', '188', '94', '35', '239']
['82', '221', '241', '247', '148', '205', '227']
['145', '232', '171', '113', '246', '97', '117']
['131', '75', '25', '9', '61', '211']
['135', '104', '54', '105', '110', '42']
['139', '234', '185', '187', '157', '115']
['144', '80', '158', '45', '190', '114']
['161', '155', '180', '172', '26', '36']
['50', '125', '164', '11', '102', '235']
['66', '101', '215', '63', '230', '86']
['39', '183', '116', '24', '7', '27']
['146', '175', '121', '33', '100', '22']
['228', '229', '8', '142', '210', '237']
['143', '173', '226', '177', '159', '151']
['141', '163', '128', '192', '69', '149']
['126', '189', '199', '74', '73', '220']
['168', '59', '99', '179', '167', '2']
['57', '40', '174', '103', '133', '16']
['83', '124', '93', '198', '44', '112']
['202', '136', '30', '67', '225', '89']
['43', '72', '77', '65', '243', '79']
['182', '208', '96', '195', '193', '222']
['98', '87', '138', '191', '233', '212']
['165', '224', '3', '132', '90', '218']
['160', '201', '23', '249', '29', '46']
['32', '88', '95', '55', '204', '111']
['0', '123', '169', '6', '127', '219']
['12', '71', '106', '10', '184', '92']
['52', '206', '119', '248', '203', '37']
['81', '140', '122', '107', '18', '41']
['51', '197', '214', '134', '70', '194']
['118', '13', '47', '28', '76', '62']
['150', '129', '170', '186', '147', '200']
