['33', '258', '376', '18', '237', '307', '133', '302', '177', '65']
['394', '202', '108', '227', '210', '115', '189', '106', '90', '119']
['357', '37', '280', '389', '35', '345', '78', '176', '367', '28']
['60', '249', '393', '371', '203', '390', '300', '31', '273', '141']
['88', '342', '218', '271', '116', '113', '214', '241', '38', '387']
['139', '250', '164', '58', '290', '173', '386', '19', '148', '338']
['391', '51', '360', '347', '225', '110', '204', '248', '95', '226']
['98', '126', '277', '224', '99', '308', '324', '70', '168', '293']
['311', '181', '191', '183', '312', '11', '211', '101', '217', '130']
['72', '298', '132', '230', '319', '174', '206', '309', '313', '362']
['169', '29', '114', '73', '284', '260', '288', '320', '246', '286']
['270', '47', '41', '155', '289', '243', '137', '74', '63', '170']
['25', '17', '14', '343', '9', '207', '24', '305', '57', '104']
['153', '158', '152', '161', '67', '15', '20', '138', '5', '267']
['399', '212', '316', '331', '228', '378', '337', '375', '84', '285']
['205', '256', '296', '216', '143', '2', '69', '254', '102', '239']
['185', '10', '377', '264', '208', '361', '358', '46', '145', '188']
['297', '354', '327', '32', '48', '66', '163', '45', '234', '253']
['318', '144', '136', '117', '261', '77', '146', '118', '30', '340']
['3', '295', '196', '326', '209', '292', '328', '272', '135', '171']
['151', '355', '182', '363', '128', '281', '397', '49', '332', '229']
['156', '4', '21', '6', '147', '87', '131', '162', '348', '150']
['94', '200', '364', '282', '80', '61', '122', '245', '330', '91']
['365', '257', '333', '213', '323', '334', '13', '86', '172', '105']
['373', '194', '266', '233', '356', '395', '26', '180', '220', '27']
['40', '317', '193', '287', '197', '89', '127', '55', '166', '315']
['56', '392', '201', '304', '22', '42', '1', '310', '190', '81']
['23', '199', '124', '103', '255', '39', '291', '396', '351', '274']
['140', '370', '232', '54', '263', '186', '123', '93', '380', '75']
['384', '366', '129', '385', '112', '235', '179', '294', '236', '100']
['269', '8', '34', '36', '154', '221', '382', '335', '336', '71']
['341', '187', '238', '247', '64', '192', '111', '96', '222', '379']
['134', '346', '299', '7', '107', '50', '388', '44', '53', '303']
['278', '283', '372', '383', '198', '369', '306', '159', '195', '175']
['215', '329', '16', '184', '68', '92', '82', '368', '149', '178']
['165', '352', '279', '76', '79', '344', '251', '275', '244', '85']
['252', '167', '374', '219', '314', '242', '325', '12', '160', '276']
['381', '157', '52', '262', '268', '259', '265', '121', '59', '0']
['109', '43', '301', '97', '231', '349', '322', '83', '142', '125']
['398', '120', '339', '321', '240', '62', '223', '359', '350', '353']
