['273', '398', '105', '41', '400', '287', '289', '391', '393', '167', '318', '372', '286', '280', '455', '196', '474', '88', '163', '311', '109', '430', '21', '4', '170', '399', '64', '413', '323', '301', '268', '54']
['345', '458', '357', '469', '305', '374', '303', '256', '7', '322', '0', '449', '116', '221', '189', '292', '195', '156', '226', '336', '39', '442', '231', '104', '470', '219', '57', '211', '106', '417', '257', '445']
['290', '352', '75', '214', '388', '300', '83', '427', '463', '79', '95', '220', '396', '50', '130', '344', '48', '49', '90', '269', '152', '27', '432', '202', '59', '362', '284', '382', '386', '415', '446', '416']
['364', '324', '182', '258', '328', '68', '123', '423', '127', '397', '466', '135', '168', '424', '478', '157', '143', '383', '272', '338', '5', '411', '278', '266', '217', '375', '420', '71', '361', '441', '98', '117']
['34', '381', '434', '428', '262', '327', '245', '84', '376', '294', '184', '265', '19', '285', '164', '340', '339', '457', '32', '477', '365', '24', '207', '330', '199', '203', '201', '461', '89', '251', '452', '241']
['371', '479', '166', '209', '346', '447', '25', '193', '14', '348', '437', '183', '155', '29', '93', '448', '440', '313', '421', '462', '460', '367', '216', '436', '240', '422', '22', '169', '471', '11', '65', '16']
['213', '232', '23', '450', '412', '206', '405', '222', '353', '418', '283', '30', '180', '46', '20', '218', '392', '315', '94', '259', '113', '409', '402', '124', '33', '414', '144', '407', '6', '47', '334', '87']
['335', '139', '107', '281', '188', '307', '138', '114', '435', '146', '197', '153', '31', '200', '342', '3', '237', '476', '8', '85', '150', '17', '181', '42', '271', '205', '358', '316', '37', '380', '66', '291']
['475', '132', '282', '384', '151', '76', '45', '51', '235', '464', '331', '161', '44', '212', '179', '134', '425', '210', '204', '312', '190', '215', '429', '118', '239', '159', '252', '343', '234', '379', '61', '63']
['198', '149', '261', '410', '403', '325', '247', '314', '439', '100', '299', '115', '297', '419', '443', '119', '122', '270', '92', '101', '332', '349', '62', '35', '56', '387', '296', '267', '246', '404', '319', '125']
['13', '110', '243', '43', '356', '230', '96', '145', '126', '148', '320', '18', '1', '373', '108', '136', '103', '366', '444', '354', '401', '55', '454', '326', '309', '173', '140', '9', '28', '274', '137', '233']
['102', '228', '36', '459', '172', '351', '81', '293', '154', '468', '15', '337', '253', '73', '174', '69', '80', '175', '385', '99', '308', '121', '160', '350', '288', '236', '363', '347', '185', '58', '310', '369']
['111', '472', '242', '317', '276', '377', '390', '370', '186', '78', '2', '359', '453', '360', '306', '191', '142', '279', '176', '97', '38', '177', '224', '208', '277', '329', '227', '192', '406', '333', '82', '60']
['52', '304', '225', '451', '162', '77', '129', '12', '141', '53', '465', '249', '260', '302', '72', '264', '194', '473', '74', '112', '341', '431', '165', '394', '275', '250', '255', '295', '171', '229', '433', '10']
['158', '86', '133', '456', '120', '254', '238', '178', '244', '395', '128', '426', '438', '378', '368', '70', '355', '26', '40', '91', '263', '389', '408', '467', '131', '187', '248', '147', '298', '223', '321', '67']
