['180', '5', '484', '149', '151', '231', '338', '244', '320', '171', '98', '299']
['264', '413', '60', '411', '378', '485', '354', '319', '253', '267', '391', '360']
['80', '108', '459', '196', '287', '75', '302', '89', '79', '362', '186', '263']
['216', '119', '300', '349', '364', '284', '365', '350', '481', '118', '246', '132']
['375', '444', '478', '8', '269', '487', '250', '276', '137', '301', '126', '292']
['96', '101', '275', '146', '314', '117', '202', '449', '247', '218', '211']
['325', '310', '418', '437', '141', '111', '65', '153', '466', '460', '480']
['262', '410', '389', '326', '476', '255', '240', '45', '265', '185', '383']
['56', '458', '448', '260', '200', '274', '381', '11', '81', '116', '173']
['129', '373', '464', '20', '77', '249', '16', '446', '82', '152', '233']
['421', '27', '432', '178', '259', '145', '61', '283', '419', '229', '161']
['138', '210', '318', '92', '257', '395', '159', '404', '52', '491', '182']
['234', '397', '433', '331', '341', '414', '457', '175', '376', '380', '377']
['452', '1', '359', '340', '268', '435', '321', '412', '62', '122', '323']
['99', '112', '206', '293', '123', '17', '315', '465', '88', '148', '371']
['289', '201', '95', '366', '31', '258', '252', '385', '90', '128', '369']
['277', '396', '192', '353', '316', '9', '393', '357', '304', '217', '114']
['205', '25', '57', '405', '343', '305', '115', '453', '177', '499', '237']
['72', '58', '187', '199', '434', '2', '232', '53', '3', '203', '379']
['30', '329', '87', '48', '344', '37', '224', '221', '307', '348', '472']
['382', '494', '306', '497', '181', '290', '372', '256', '447', '420', '493']
['358', '454', '427', '496', '46', '470', '51', '473', '50', '156', '41']
['0', '110', '71', '230', '174', '176', '197', '328', '124', '386', '392']
['160', '76', '330', '15', '282', '337', '270', '251', '222', '399', '24']
['394', '172', '295', '18', '104', '415', '271', '406', '235', '168', '78']
['106', '158', '125', '467', '144', '170', '169', '308', '34', '425', '164']
['280', '456', '298', '163', '63', '482', '55', '347', '339', '6', '223']
['167', '21', '236', '66', '69', '154', '134', '477', '336', '469', '303']
['198', '29', '402', '388', '355', '346', '322', '26', '131', '417', '294']
['193', '179', '356', '490', '36', '120', '335', '127', '4', '363', '400']
['342', '248', '32', '430', '12', '228', '278', '189', '285', '440', '474']
['162', '286', '147', '238', '194', '245', '296', '408', '297', '439', '225']
['133', '102', '109', '35', '33', '143', '463', '451', '13', '86', '209']
['311', '40', '387', '49', '239', '462', '374', '288', '220', '492', '23']
['281', '214', '441', '403', '367', '195', '190', '93', '73', '461', '488']
['273', '10', '398', '423', '204', '486', '28', '426', '455', '242', '155']
['43', '94', '471', '261', '475', '83', '498', '333', '327', '19', '227']
['212', '103', '184', '215', '140', '188', '54', '324', '445', '479', '312']
['64', '431', '401', '85', '84', '42', '313', '352', '468', '272', '207']
['105', '443', '67', '428', '22', '332', '157', '489', '361', '139', '384']
['351', '44', '130', '370', '409', '121', '166', '390', '7', '113', '219']
['47', '226', '345', '39', '266', '243', '407', '483', '70', '100', '368']
['213', '68', '107', '495', '165', '424', '309', '191', '97', '450', '208']
['14', '334', '183', '317', '442', '38', '136', '429', '241', '59', '422']
['438', '436', '254', '416', '91', '74', '150', '135', '291', '142', '279']
