['66', '4', '398', '294', '382', '22', '395', '224', '195', '365', '383', '300', '381', '84', '189', '352', '388', '342', '140', '143']
['90', '132', '7', '353', '295', '351', '102', '119', '0', '63', '179', '315', '94', '159', '48', '10', '321', '64', '377']
['267', '177', '71', '163', '327', '8', '280', '269', '206', '42', '108', '113', '193', '367', '331', '166', '24', '297', '162']
['227', '229', '218', '122', '85', '393', '260', '372', '27', '127', '338', '118', '6', '134', '170', '392', '194', '36', '396']
['243', '124', '9', '264', '182', '130', '399', '125', '262', '112', '15', '334', '99', '270', '133', '5', '198', '343', '116']
['44', '31', '151', '14', '74', '318', '394', '89', '17', '366', '256', '368', '387', '303', '19', '355', '323', '244', '135']
['339', '91', '385', '275', '235', '288', '309', '273', '245', '13', '137', '21', '219', '271', '291', '82', '232', '279', '228']
['73', '78', '286', '76', '371', '147', '149', '234', '238', '184', '121', '292', '350', '155', '168', '50', '139', '301', '332']
['356', '357', '347', '325', '88', '39', '214', '126', '77', '374', '306', '65', '87', '131', '190', '165', '311', '333', '285']
['268', '16', '144', '272', '86', '145', '200', '240', '35', '362', '68', '213', '257', '11', '324', '40', '186', '287', '196']
['266', '386', '61', '75', '158', '100', '203', '298', '330', '20', '202', '54', '391', '328', '364', '56', '98', '274', '221']
['358', '259', '375', '142', '45', '70', '255', '96', '289', '211', '296', '320', '18', '59', '247', '258', '246', '349', '370']
['316', '106', '34', '363', '390', '52', '340', '250', '185', '276', '37', '378', '384', '156', '2', '23', '282', '212', '346']
['187', '138', '304', '157', '115', '117', '128', '290', '153', '376', '188', '169', '197', '161', '254', '310', '181', '93', '397']
['80', '101', '302', '239', '284', '308', '253', '107', '81', '148', '354', '192', '97', '223', '164', '329', '41', '171', '201']
['210', '49', '335', '167', '361', '373', '180', '231', '209', '265', '53', '58', '261', '38', '216', '62', '26', '305', '222']
['72', '51', '277', '249', '207', '136', '104', '105', '183', '360', '283', '32', '336', '30', '3', '237', '43', '150', '251']
['174', '83', '173', '129', '204', '281', '154', '29', '57', '92', '248', '208', '1', '379', '55', '220', '344', '314', '319']
['312', '252', '241', '217', '69', '236', '226', '345', '120', '111', '233', '380', '299', '191', '369', '278', '114', '326', '47']
['230', '263', '67', '242', '123', '172', '33', '60', '28', '313', '175', '110', '178', '12', '79', '341', '199', '205', '225']
['359', '160', '146', '141', '176', '46', '152', '317', '95', '293', '25', '215', '389', '109', '322', '348', '337', '103', '307']
