['U', 'aa', 'jjjjjjjj', 'k', 'ggggg', 'iiiii', 'bb', 'ffffffff', 'bbb', 'EEEE', '5555555', 'ddd', 'lll', 'dddd', 'pppppp', 'BBBBB']
['RRRRRRR', 'UUUUUUUU', 'YY', 'R', 'gggg', 'EEEEE', 'SS', 'S', 'aaa', 'rr', 'aaaaaa', 'HHHHHH', '8', 'PPPPPPPP', 'O', 'yyyyyy']
['YYYYYY', 'wwww', 'oooooo', 'oooo', 'eeeeee', 'FFF', 'GGGGGG', 'Q', '4444', '77777777', 'RRRRRR', '77', 'CCCC', 'XXXXXXX', 'wwwwwwww', 'q']
['cccc', 'FFFFFF', 'kkkkk', 'JJJJJJ', 'qqqqqq', 'wwwwww', 'bbbbbbbb', 'MMMMMMMM', 'JJJJJJJJ', 'PPPPP', 'LLL', 'LLLLLLL', 'zzz', 'HHHHH', '7777777', 'fffff']
['z', 'vvvvvvvv', 'lllllll', 'w', 'ZZZZ', 'jjjjj', 'WWW', 'hhhh', 'l', 'd', '666', 'UUUUUUU', 'sssssss', 'XXXXX', '111', 'zzzzz']
['v', 'nnnnnn', 'yyyyyyyy', 'www', 'YYYYY', 'BBBBBBBB', '111111', 'HHHHHHH', 'E', 'HH', 'llll', 'CC', 'hhhhhh', 'YYYYYYYY', 'GGGGGGGG', 'hhh']
['kkkkkk', 'MMMMMMM', 'iiiiiii', 'AAAA', 'sss', 'a', 'ZZ', 'mm', 'ZZZZZ', 'r', 'aaaaa', '11111', 'GGGG', 'AAAAAAAA', 'TT', 'LL']
['vvvv', 'UU', 'ffff', 'bbbb', 'OOO', 'xxx', '11111111', 'ZZZZZZZ', '1111111', 'ff', 'OOOOOOO', 'TTTTTT', 'oooooooo', 'C', 'aaaaaaaa', 'nnnn']
['SSSS', 'eeeee', 'tttttt', 'mmmm', '333333', '88888888', 'uuuuuu', '222', 'QQQ', 'J', 'RRR', 'e', 'N', 'ppppppp', 'SSSSS', 'KKK']
['QQQQQQQ', 'V', '777777', 'eee', '444444', '5', 'OO', 'tttttttt', 'OOOOOO', 'KK', 'BBBBBB', 'UUU', '1', 'MMMMMM', 'ppppp', 'RR']
['P', 'ww', 'jj', 'FFFFFFFF', 'MMMM', 'KKKKKKK', 'L', '8888888', 'PPP', 'KKKKKK', '55555555', 'mmmmmmm', 'wwwww', 'bbbbb', 'PPPPPP', 'T']
['ZZZZZZZZ', '66', 'f', 'BBBB', 'BBB', 'CCCCCC', 'AAAAAAA', 'cccccccc', 'kkkk', 'PP', 'CCCCCCC', 'ZZZ', 'yyyy', 'qqqqqqqq', 'o', 'nn']
['ddddd', '3', 'mmmmmm', 'OOOOO', '555', 'FFFFFFF', '8888', 'AA', 'kkkkkkk', 'dddddd', 'ccccccc', 'XXXX', 'nnnnnnnn', 'B', 'FFFF', 'fff']
['JJ', 'gg', 'RRRR', 'eeeeeeee', 'pppppppp', '88', 'g', 'qqq', 'zzzz', 'IIIIIII', 'IIII', 'm', 'PPPP', 'ssssss', 'jjj', 'vvvvv']
['XXXXXXXX', 'ss', 't', 'QQQQQ', 'xxxxxx', 'dd', 'rrrrrr', 'TTTTTTTT', 'TTTTT', 'HHHHHHHH', 'kk', 'AAAAAA', 'NNN', 'ssssssss', '1111', '66666']
['OOOO', 'GG', 'K', 'XX', 'mmm', 'X', 'I', '33', 'A', 'p', 'sssss', 'NNNNNNN', 'uuu', '55555', 'EEEEEEE', 'Y']
['FFFFF', 'uuuuuuu', 'CCC', 'AAAAA', 'W', 'ppp', 'YYY', 'EEE', 'xxxx', 'b', 'BB', 'Z', 'AAA', 'oo', 'iii', 'SSS']
