['147', '11', '97', '88', '233', '19', '273', '154', '168', '58', '287', '240', '172', '345', '43', '296', '321', '186', '234', '187', '399', '115', '314', '220', '188']
['306', '185', '219', '395', '251', '305', '118', '167', '311', '200', '351', '184', '397', '263', '79', '183', '194', '216', '340', '343', '155', '328', '30', '138', '173']
['42', '394', '332', '22', '38', '2', '122', '364', '20', '76', '114', '191', '35', '253', '222', '324', '304', '267', '7', '123', '146', '221', '153', '366', '357']
['25', '390', '243', '62', '125', '135', '315', '18', '84', '170', '61', '218', '197', '230', '141', '86', '239', '149', '156', '3', '377', '145', '41', '60', '322']
['67', '337', '268', '331', '344', '85', '388', '119', '152', '110', '160', '392', '210', '327', '132', '203', '96', '269', '136', '285', '277', '385', '68', '91', '128']
['369', '270', '365', '180', '127', '227', '90', '94', '229', '139', '231', '237', '245', '14', '396', '54', '70', '193', '113', '44', '330', '164', '78', '389', '56']
['262', '74', '133', '162', '126', '228', '391', '260', '360', '235', '15', '283', '358', '5', '226', '333', '241', '129', '376', '182', '275', '195', '256', '316', '372']
['370', '120', '177', '326', '101', '308', '206', '381', '318', '361', '46', '124', '294', '159', '301', '302', '29', '36', '179', '71', '309', '355', '169', '225', '72']
['117', '250', '53', '69', '150', '112', '103', '205', '82', '161', '207', '181', '175', '32', '13', '223', '34', '349', '4', '213', '17', '157', '261', '45', '320']
['211', '148', '166', '323', '348', '48', '100', '378', '242', '52', '325', '310', '65', '393', '199', '178', '248', '75', '292', '87', '106', '281', '272', '386', '367']
['352', '121', '215', '107', '8', '24', '255', '232', '176', '198', '92', '339', '80', '165', '293', '347', '299', '373', '158', '236', '144', '295', '379', '317', '274']
['49', '98', '312', '298', '130', '303', '102', '23', '31', '143', '66', '204', '382', '338', '278', '247', '64', '307', '171', '280', '249', '398', '313', '284', '350']
['40', '0', '104', '297', '290', '246', '192', '342', '212', '384', '116', '300', '374', '354', '142', '63', '111', '266', '201', '89', '137', '254', '28', '134', '371']
['37', '57', '51', '252', '319', '21', '108', '95', '282', '189', '59', '214', '77', '257', '47', '10', '353', '258', '380', '196', '140', '73', '368', '109', '224']
['359', '265', '334', '335', '383', '174', '244', '341', '202', '105', '288', '259', '362', '209', '286', '50', '93', '9', '190', '33', '346', '291', '238', '276', '279']
['329', '55', '81', '356', '289', '208', '12', '271', '151', '163', '16', '363', '131', '336', '387', '39', '26', '264', '6', '83', '375', '217', '27', '1', '99']
