['9', '317', '413', '108', '328', '119', '137']
['68', '3', '286', '292', '393', '383', '35']
['331', '188', '226', '203', '227', '181', '151']
['265', '176', '380', '259', '332', '220', '221']
['472', '460', '149', '396', '488', '80', '109']
['341', '40', '153', '230', '294', '315', '288']
['382', '273', '476', '122', '86', '372', '195']
['126', '406', '297', '5', '456', '84', '144']
['390', '358', '444', '228', '345', '475', '433']
['183', '177', '447', '120', '299', '27', '236']
['318', '13', '403', '321', '225', '416', '350']
['429', '402', '209', '271', '72', '157', '56']
['113', '121', '435', '85', '71', '34', '73']
['469', '324', '29', '356', '465', '146', '338']
['245', '148', '95', '378', '417', '17', '327']
['25', '99', '431', '293', '0', '252', '200']
['470', '422', '244', '461', '352', '274', '272']
['438', '165', '427', '235', '67', '42', '159']
['178', '280', '351', '420', '103', '342', '455']
['333', '237', '366', '4', '101', '205', '314']
['142', '91', '309', '453', '302', '323', '295']
['53', '63', '306', '418', '202', '139', '312']
['479', '468', '168', '487', '147', '82', '384']
['340', '409', '134', '16', '194', '486', '451']
['355', '313', '354', '48', '93', '408', '281']
['316', '92', '127', '171', '96', '124', '240']
['305', '483', '37', '10', '206', '131', '44']
['452', '217', '69', '184', '218', '458', '423']
['375', '434', '8', '216', '284', '291', '132']
['379', '87', '214', '189', '162', '23', '152']
['111', '197', '112', '276', '474', '242', '210']
['105', '248', '307', '466', '136', '322', '78']
['21', '262', '18', '373', '362', '325', '303']
['320', '62', '471', '400', '251', '426', '246']
['61', '193', '377', '102', '241', '477', '54']
['296', '79', '254', '364', '14', '425', '257']
['196', '478', '445', '39', '473', '261', '347']
['361', '412', '186', '229', '75', '258', '357']
['98', '277', '411', '158', '170', '441', '369']
['38', '346', '100', '269', '125', '190', '386']
['219', '164', '233', '287', '45', '59', '118']
['421', '285', '175', '7', '52', '128', '47']
['60', '381', '150', '172', '467', '304', '64']
['58', '211', '260', '247', '208', '310', '173']
['163', '270', '298', '116', '180', '311', '349']
['387', '66', '385', '454', '282', '191', '428']
['365', '199', '154', '404', '392', '231', '401']
['212', '334', '399', '300', '115', '437', '363']
['480', '255', '143', '268', '174', '2', '289']
['88', '74', '49', '135', '279', '129', '234']
['446', '301', '457', '26', '348', '51', '398']
['33', '374', '97', '407', '161', '410', '283']
['326', '419', '204', '376', '440', '76', '463']
['15', '207', '238', '166', '41', '12', '330']
['308', '264', '32', '442', '464', '485', '462']
['360', '94', '77', '343', '267', '179', '450']
['192', '169', '243', '31', '22', '232', '443']
['449', '107', '55', '182', '290', '336', '414']
['415', '482', '367', '432', '201', '141', '249']
['185', '335', '353', '368', '359', '222', '213']
['30', '391', '123', '36', '70', '223', '256']
['6', '81', '50', '424', '329', '117', '371']
['19', '155', '89', '130', '319', '133', '278']
['275', '1', '20', '83', '24', '28', '198']
['43', '397', '439', '104', '160', '344', '46']
['187', '167', '145', '436', '263', '481', '106']
['110', '448', '114', '57', '224', '339', '215']
['266', '250', '253', '395', '430', '337', '90']
['405', '239', '484', '370', '156', '394', '65']
['388', '459', '140', '11', '389', '138']
