['169', '54', '214', '343', '149', '388', '180', '410', '93', '25', '164', '146', '75', '457', '243', '218', '101', '244', '63', '471', '224', '266']
['325', '98', '294', '165', '290', '133', '143', '175', '447', '220', '379', '417', '476', '310', '152', '433', '58', '192', '174', '435', '254', '84']
['155', '386', '126', '436', '335', '311', '321', '474', '255', '323', '251', '83', '124', '361', '12', '385', '185', '333', '136', '327', '378', '13']
['205', '354', '259', '57', '367', '60', '349', '253', '226', '137', '391', '76', '26', '350', '341', '173', '127', '184', '38', '116', '16', '221']
['326', '105', '256', '225', '95', '456', '132', '421', '400', '283', '167', '46', '147', '287', '307', '201', '480', '4', '387', '430', '275', '28']
['470', '23', '291', '61', '338', '374', '64', '334', '31', '171', '18', '55', '44', '344', '20', '459', '328', '362', '106', '285', '7', '82']
['337', '409', '434', '365', '261', '279', '357', '280', '250', '317', '32', '375', '85', '302', '56', '148', '119', '161', '187', '131', '81', '210']
['186', '265', '455', '172', '276', '313', '443', '406', '51', '272', '108', '80', '159', '342', '429', '305', '377', '168', '461', '444', '92', '418']
['284', '320', '366', '47', '273', '369', '88', '363', '296', '339', '300', '373', '67', '359', '111', '389', '483', '331', '277', '462', '30', '103']
['70', '72', '235', '188', '153', '249', '163', '1', '330', '242', '100', '403', '194', '411', '211', '262', '223', '97', '345', '62', '233', '191']
['478', '197', '281', '134', '151', '236', '449', '208', '319', '237', '394', '42', '6', '79', '454', '464', '150', '140', '401', '154', '289', '315']
['227', '128', '200', '234', '177', '49', '293', '356', '442', '304', '110', '17', '479', '299', '376', '189', '412', '425', '22', '278', '269', '71']
['397', '14', '138', '466', '115', '372', '245', '358', '353', '370', '170', '45', '303', '402', '240', '324', '43', '107', '286', '179', '122', '407']
['176', '467', '204', '94', '463', '142', '135', '29', '48', '215', '437', '282', '74', '268', '274', '405', '438', '248', '306', '59', '440', '381']
['384', '89', '86', '125', '69', '117', '139', '477', '157', '347', '246', '260', '419', '396', '66', '368', '446', '209', '314', '426', '19', '432']
['332', '156', '383', '141', '202', '99', '238', '198', '247', '264', '481', '10', '380', '65', '340', '206', '181', '33', '348', '475', '96', '37']
['40', '316', '297', '102', '41', '428', '27', '162', '217', '252', '445', '112', '472', '114', '390', '78', '219', '158', '11', '257', '231', '448']
['228', '468', '178', '232', '392', '414', '52', '104', '36', '408', '35', '451', '229', '258', '123', '222', '453', '193', '8', '398', '230', '21']
['39', '241', '322', '404', '213', '91', '3', '73', '270', '166', '90', '393', '24', '195', '203', '267', '431', '216', '346', '0', '5', '399']
['129', '292', '190', '298', '312', '109', '9', '199', '87', '113', '423', '450', '371', '50', '482', '120', '160', '318', '301', '336', '364', '458']
['420', '452', '288', '460', '196', '465', '212', '439', '360', '263', '424', '415', '351', '352', '182', '329', '473', '145', '382', '121', '309', '53']
['207', '2', '308', '15', '469', '355', '144', '130', '118', '239', '183', '295', '427', '34', '68', '413', '416', '422', '395', '441', '77', '271']
