['82', '53', '168', '123', '177', '52']
['169', '86', '214', '105', '139']
['62', '10', '33', '130', '193']
['198', '212', '115', '227', '188']
['4', '47', '167', '17', '112']
['208', '162', '229', '231', '20']
['223', '220', '7', '221', '173']
['179', '222', '121', '59', '46']
['67', '57', '151', '131', '149']
['64', '56', '5', '28', '163']
['161', '206', '34', '190', '51']
['43', '237', '246', '210', '136']
['107', '89', '55', '44', '9']
['192', '16', '230', '14', '78']
['39', '70', '181', '228', '218']
['88', '174', '26', '63', '143']
['114', '182', '213', '216', '2']
['108', '93', '72', '99', '187']
['147', '164', '1', '13', '201']
['117', '191', '111', '126', '81']
['22', '27', '49', '189', '242']
['41', '133', '21', '152', '185']
['150', '240', '103', '29', '6']
['154', '3', '12', '0', '137']
['144', '197', '225', '40', '226']
['239', '236', '97', '247', '120']
['219', '66', '204', '140', '135']
['233', '91', '249', '183', '245']
['156', '238', '96', '186', '196']
['195', '75', '232', '203', '138']
['127', '73', '71', '65', '166']
['145', '211', '109', '160', '110']
['87', '98', '165', '155', '202']
['92', '116', '175', '224', '157']
['134', '235', '90', '159', '36']
['25', '45', '243', '248', '172']
['104', '217', '199', '79', '18']
['209', '184', '141', '58', '122']
['125', '215', '74', '42', '69']
['132', '60', '100', '11', '119']
['54', '15', '178', '153', '35']
['146', '234', '158', '250', '200']
['128', '32', '24', '37', '68']
['102', '171', '61', '142', '30']
['148', '241', '101', '50', '95']
['170', '205', '83', '77', '38']
['8', '180', '19', '31', '94']
['176', '85', '118', '106', '48']
['129', '80', '207', '84', '23']
['113', '244', '76', '194', '124']
