['71', '2', '87', '227']
['174', '30', '151', '22']
['83', '81', '68', '194']
['116', '47', '38', '230']
['199', '78', '20', '107']
['211', '11', '184', '229']
['140', '43', '191', '136']
['112', '99', '21', '138']
['100', '64', '8', '102']
['195', '84', '93', '192']
['146', '182', '240', '23']
['111', '169', '59', '232']
['155', '118', '170', '223']
['212', '188', '88', '49']
['206', '202', '141', '186']
['80', '42', '247', '34']
['201', '37', '14', '220']
['152', '109', '215', '110']
['234', '45', '48', '126']
['236', '91', '76', '17']
['148', '27', '162', '153']
['4', '69', '145', '177']
['245', '179', '33', '131']
['208', '217', '101', '228']
['13', '171', '65', '156']
['96', '51', '105', '1']
['72', '10', '218', '165']
['158', '114', '98', '119']
['172', '225', '74', '181']
['95', '224', '163', '58']
['41', '160', '63', '57']
['204', '157', '203', '235']
['16', '135', '226', '61']
['62', '35', '9', '44']
['86', '205', '185', '189']
['139', '150', '123', '221']
['231', '214', '12', '166']
['124', '82', '54', '5']
['219', '24', '36', '133']
['106', '176', '117', '233']
['26', '120', '137', '183']
['237', '113', '246', '29']
['125', '173', '79', '67']
['209', '66', '52', '130']
['216', '222', '248', '243']
['0', '196', '25', '149']
['39', '108', '249', '142']
['175', '6', '238', '190']
['73', '128', '115', '207']
['97', '242', '85', '129']
['200', '19', '28', '193']
['213', '3', '241', '70']
['32', '55', '104', '180']
['244', '187', '164', '144']
['239', '132', '7', '127']
['178', '134', '167', '90']
['50', '40', '197', '154']
['31', '53', '92', '122']
['168', '147', '56', '198']
['210', '15', '46', '103']
['89', '60', '143', '77']
['159', '75', '161']
['94', '18', '121']
